Matlab name	Figure name	Description	Initial value	unit
sg	T GsNu rmfeamcber aanree a	Trans Golgi Network 	50	
nb1_cg	VBe1s i-c lCeBsC	Coat B budded membrane from TNG in CBC 	0.03	
nb1_mtc	VBe1s i-c lMeTsC	Coat B budded membrane from TNG - MTC 	2.5433	
nb1_cpm	VBe1s i-c lGeCsC	Coat B budded membrane from TNG in GCC 	7.6299	
spm	Gsruorwftahc ec oanree am e m b r a n e 	Growth cone plasma membrane	50	
na1_cg	VAe1s i-c lCeBsC	Coat A budded membrane from TGN in CBC 	2.2911e-06	
na1_mtc	VAe1s i-c lMeTsC	Coat A budded membrane from TNG in MTC	0.0008038	
na1_cpm	VAe1s i-c lGeCsC	Coat A budded membrane from TNG in GCC 	0.0067794	
nb2_cg	VBe2s i-c lCeBsC	Coat B budded membrane from plasma membrane in CBC 	0.01252	
nb2_mtc	VBe2s i-c lMeTsC	Coat B budded membrane from plasma membrane in MTC	6.5014e-05	
nb2_cpm	VBe2s i-c lGeCsC	Coat B budded membrane from plasma membrane in GCC 	4.0126e-05	
na2_cg	VAe2s i-c lCeBsC	Coat A budded membrane from plasma membrane in CBC 	0.55556	
na2_mtc	VAe2s i-c lMeTsC	Coat A budded membrane from plasma membrane in MTC	0.2849	
na2_cpm	VAe2s i-c lGeCsC	Coat A budded membrane from plasma membrane in GCC 	0.14	
s3	Nseuurrfiatcee  sahraefat   m e m b r a n e 	Neurite shaft surface area	62.8319	
yy_g	STNGANR E   Y 	SNARE Y in TGN	22.0942	
yy_b1_cg	SBN1A R-E  CYB C	Coat B budded total Y SNAREs from TNG in CBC	0.33348	
yy_b1_mtc	SBN1A R-E  MYT C	Coat B budded total Y SNAREs from TNG in MTC	28.2713	
yy_b1_cpm	SBN1A R-E  GYC C	Coat B budded total Y SNAREsfrom TNG in GCC	84.8139	
yy_pm	SGNCA R E   Y 	SNARE Y at growth cone membrane	20000	
yy_a1_cg	SAN1A R-E  CYB C	Coat A budded total Y SNAREs from TNG in CBC	1.9228e-11	
yy_a1_mtc	SAN1A R-E  MYT C	Coat A budded total Y SNAREs from TNG - MTC	6.746e-09	
yy_a1_cpm	SAN1A R-E  GYC C	Coat A budded total Y SNAREs from TNG - GCC	0.00011986	
yy_b2_cg	SBN2A R-E  CYB C	Coat B budded total Y SNAREs from plasma membrane - CBC	10.449	
yy_b2_mtc	SBN2A R-E  MYT C	Coat B budded total Y SNAREs from plasma membrane in MTU	0.054339	
yy_b2_cpm	SBN2A R-E  GYC C	Coat B budded total Y SNAREs from plasma membrane - GCC	0.033537	
yy_a2_cg	SAN2A R-E  CYB C	Coat A budded total Y SNAREs from plasma membrane - CBC	9.4014	
yy_a2_mtc	SAN2A R-E  MYT C	Coat A budded total Y SNAREs from plasma membrane in MTU	4.8213	
yy_a2_cpm	SAN2A R-E  GYC C	Coat A budded total Y SNAREs from plasma membrane - GCC	2.3692	
vv_g	STNGANR E   V 	Total V SNAREs in TGN	20.6316	
vv_b1_cg	SBN1A R-E  CVB C	Coat B budded total V SNAREs from TNG - CBC	7.5	
vv_b1_mtc	SBN1A R-E  MVT C	Coat B budded total V SNAREs from TNG - MTC	635.8221	
